method,m,pi0,effect_size,alpha,rep,FDR,Power
Bonferroni,16,0.25,1.5,0.05,867,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,867,0.0,0.25
BH,16,0.25,1.5,0.05,868,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,868,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,868,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,869,0.0,0.3333333333333333
Bonferroni,16,0.25,1.5,0.05,869,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,869,0.0,0.5833333333333334
BH,16,0.25,1.5,0.05,870,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,870,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,870,0.0,0.16666666666666666
BH,16,0.25,1.5,0.05,871,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,871,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,871,0.0,0.16666666666666666
BH,16,0.25,1.5,0.05,872,0.0,0.3333333333333333
Bonferroni,16,0.25,1.5,0.05,872,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,872,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,873,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,873,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,873,0.0,0.25
BH,16,0.25,1.5,0.05,874,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,874,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,874,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,875,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,875,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,875,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,876,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,876,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,876,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,877,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,877,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,877,0.0,0.25
BH,16,0.25,1.5,0.05,878,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,878,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,878,0.14285714285714285,0.5
BH,16,0.25,1.5,0.05,879,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,879,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,879,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,880,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,880,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,880,0.0,0.25
BH,16,0.25,1.5,0.05,881,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,881,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,881,0.0,0.25
BH,16,0.25,1.5,0.05,882,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,882,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,882,0.0,0.25
BH,16,0.25,1.5,0.05,883,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,883,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,883,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,884,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,884,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,884,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,885,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,885,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,885,0.0,0.25
BH,16,0.25,1.5,0.05,886,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,886,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,886,0.0,0.25
BH,16,0.25,1.5,0.05,887,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,887,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,887,0.0,0.25
BH,16,0.25,1.5,0.05,888,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,888,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,888,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,889,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,889,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,889,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,890,0.5,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,890,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,890,0.25,0.25
BH,16,0.25,1.5,0.05,891,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,891,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,891,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,892,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,892,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,892,0.0,0.5
BH,16,0.25,1.5,0.05,893,0.0,0.3333333333333333
Bonferroni,16,0.25,1.5,0.05,893,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,893,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,894,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,894,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,894,0.0,0.25
BH,16,0.25,1.5,0.05,895,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,895,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,895,0.0,0.16666666666666666
BH,16,0.25,1.5,0.05,896,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,896,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,896,0.0,0.5
BH,16,0.25,1.5,0.05,897,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,897,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,897,0.0,0.5833333333333334
BH,16,0.25,1.5,0.05,898,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,898,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,898,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,899,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,899,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,899,0.0,0.25
BH,16,0.25,1.5,0.05,900,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,900,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,900,0.0,0.25
BH,16,0.25,1.5,0.05,901,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,901,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,901,0.0,0.16666666666666666
BH,16,0.25,1.5,0.05,902,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,902,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,902,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,903,0.5,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,903,0.5,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,903,0.3333333333333333,0.16666666666666666
BH,16,0.25,1.5,0.05,904,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,904,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,904,0.0,0.16666666666666666
BH,16,0.25,1.5,0.05,905,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,905,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,905,0.0,0.16666666666666666
BH,16,0.25,1.5,0.05,906,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,906,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,906,0.0,0.08333333333333333
BH,16,0.25,1.5,0.05,907,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,907,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,907,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,908,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,908,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,908,0.0,0.16666666666666666
BH,16,0.25,1.5,0.05,909,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,909,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,909,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,910,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,910,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,910,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,911,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,911,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,911,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,912,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,912,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,912,0.0,0.25
BH,16,0.25,1.5,0.05,913,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,913,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,913,0.0,0.25
BH,16,0.25,1.5,0.05,914,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,914,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,914,0.3333333333333333,0.16666666666666666
BH,16,0.25,1.5,0.05,915,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,915,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,915,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,916,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,916,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,916,0.0,0.25
BH,16,0.25,1.5,0.05,917,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,917,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,917,0.5,0.08333333333333333
BH,16,0.25,1.5,0.05,918,0.0,0.5
Bonferroni,16,0.25,1.5,0.05,918,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,918,0.0,0.6666666666666666
BH,16,0.25,1.5,0.05,919,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,919,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,919,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,920,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,920,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,920,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,921,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,921,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,921,0.0,0.5
BH,16,0.25,1.5,0.05,922,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,922,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,922,0.0,0.25
BH,16,0.25,1.5,0.05,923,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,923,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,923,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,924,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,924,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,924,0.0,0.25
BH,16,0.25,1.5,0.05,925,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,925,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,925,0.3333333333333333,0.16666666666666666
BH,16,0.25,1.5,0.05,926,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,926,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,926,0.16666666666666666,0.4166666666666667
BH,16,0.25,1.5,0.05,927,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,927,0.0,0.25
Uncorrected,16,0.25,1.5,0.05,927,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,928,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,928,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,928,0.0,0.25
BH,16,0.25,1.5,0.05,929,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,929,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,929,0.0,0.25
BH,16,0.25,1.5,0.05,930,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,930,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,930,0.0,0.08333333333333333
BH,16,0.25,1.5,0.05,931,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,931,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,931,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,932,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,932,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,932,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,933,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,933,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,933,0.0,0.08333333333333333
BH,16,0.25,1.5,0.05,934,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,934,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,934,0.0,0.5
BH,16,0.25,1.5,0.05,935,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,935,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,935,0.0,0.08333333333333333
BH,16,0.25,1.5,0.05,936,0.0,0.3333333333333333
Bonferroni,16,0.25,1.5,0.05,936,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,936,0.0,0.6666666666666666
BH,16,0.25,1.5,0.05,937,0.0,0.5
Bonferroni,16,0.25,1.5,0.05,937,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,937,0.14285714285714285,0.5
BH,16,0.25,1.5,0.05,938,0.0,0.4166666666666667
Bonferroni,16,0.25,1.5,0.05,938,0.0,0.25
Uncorrected,16,0.25,1.5,0.05,938,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,939,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,939,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,939,0.16666666666666666,0.4166666666666667
BH,16,0.25,1.5,0.05,940,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,940,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,940,0.0,0.16666666666666666
BH,16,0.25,1.5,0.05,941,0.0,0.4166666666666667
Bonferroni,16,0.25,1.5,0.05,941,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,941,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,942,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,942,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,942,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,943,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,943,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,943,0.25,0.25
BH,16,0.25,1.5,0.05,944,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,944,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,944,0.0,0.25
BH,16,0.25,1.5,0.05,945,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,945,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,945,0.0,0.5
BH,16,0.25,1.5,0.05,946,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,946,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,946,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,947,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,947,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,947,0.0,0.25
BH,16,0.25,1.5,0.05,948,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,948,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,948,0.0,0.16666666666666666
BH,16,0.25,1.5,0.05,949,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,949,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,949,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,950,0.0,0.3333333333333333
Bonferroni,16,0.25,1.5,0.05,950,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,950,0.0,0.5
BH,16,0.25,1.5,0.05,951,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,951,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,951,0.0,0.25
BH,16,0.25,1.5,0.05,952,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,952,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,952,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,953,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,953,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,953,0.0,0.16666666666666666
BH,16,0.25,1.5,0.05,954,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,954,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,954,0.0,0.25
BH,16,0.25,1.5,0.05,955,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,955,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,955,0.0,0.25
BH,16,0.25,1.5,0.05,956,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,956,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,956,0.0,0.5
BH,16,0.25,1.5,0.05,957,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,957,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,957,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,958,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,958,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,958,0.0,0.16666666666666666
BH,16,0.25,1.5,0.05,959,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,959,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,959,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,960,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,960,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,960,0.0,0.25
BH,16,0.25,1.5,0.05,961,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,961,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,961,0.25,0.25
BH,16,0.25,1.5,0.05,962,0.0,0.3333333333333333
Bonferroni,16,0.25,1.5,0.05,962,0.0,0.3333333333333333
Uncorrected,16,0.25,1.5,0.05,962,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,963,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,963,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,963,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,964,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,964,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,964,0.0,0.25
BH,16,0.25,1.5,0.05,965,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,965,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,965,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,966,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,966,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,966,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,967,0.0,0.4166666666666667
Bonferroni,16,0.25,1.5,0.05,967,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,967,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,968,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,968,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,968,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,969,0.0,0.3333333333333333
Bonferroni,16,0.25,1.5,0.05,969,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,969,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,970,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,970,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,970,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,971,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,971,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,971,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,972,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,972,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,972,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,973,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,973,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,973,0.0,0.25
BH,16,0.25,1.5,0.05,974,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,974,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,974,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,975,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,975,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,975,0.125,0.5833333333333334
BH,16,0.25,1.5,0.05,976,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,976,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,976,0.0,0.25
BH,16,0.25,1.5,0.05,977,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,977,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,977,0.0,0.25
BH,16,0.25,1.5,0.05,978,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,978,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,978,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,979,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,979,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,979,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,980,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,980,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,980,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,981,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,981,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,981,0.0,0.25
BH,16,0.25,1.5,0.05,982,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,982,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,982,0.25,0.25
BH,16,0.25,1.5,0.05,983,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,983,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,983,0.14285714285714285,0.5
BH,16,0.25,1.5,0.05,984,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,984,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,984,0.0,0.25
BH,16,0.25,1.5,0.05,985,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,985,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,985,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,986,0.0,0.25
Bonferroni,16,0.25,1.5,0.05,986,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,986,0.0,0.25
BH,16,0.25,1.5,0.05,987,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,987,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,987,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,988,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,988,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,988,0.5,0.08333333333333333
BH,16,0.25,1.5,0.05,989,0.0,0.08333333333333333
Bonferroni,16,0.25,1.5,0.05,989,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,989,0.0,0.5
BH,16,0.25,1.5,0.05,990,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,990,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,990,0.16666666666666666,0.4166666666666667
BH,16,0.25,1.5,0.05,991,0.25,0.5
Bonferroni,16,0.25,1.5,0.05,991,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,991,0.25,0.5
BH,16,0.25,1.5,0.05,992,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,992,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,992,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,993,1.0,0.0
Bonferroni,16,0.25,1.5,0.05,993,1.0,0.0
Uncorrected,16,0.25,1.5,0.05,993,0.3333333333333333,0.16666666666666666
BH,16,0.25,1.5,0.05,994,0.0,0.3333333333333333
Bonferroni,16,0.25,1.5,0.05,994,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,994,0.0,0.5833333333333334
BH,16,0.25,1.5,0.05,995,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,995,0.0,0.08333333333333333
Uncorrected,16,0.25,1.5,0.05,995,0.0,0.25
BH,16,0.25,1.5,0.05,996,0.0,0.16666666666666666
Bonferroni,16,0.25,1.5,0.05,996,0.0,0.16666666666666666
Uncorrected,16,0.25,1.5,0.05,996,0.0,0.3333333333333333
BH,16,0.25,1.5,0.05,997,0.0,0.4166666666666667
Bonferroni,16,0.25,1.5,0.05,997,0.0,0.25
Uncorrected,16,0.25,1.5,0.05,997,0.0,0.6666666666666666
BH,16,0.25,1.5,0.05,998,0.0,0.3333333333333333
Bonferroni,16,0.25,1.5,0.05,998,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,998,0.0,0.4166666666666667
BH,16,0.25,1.5,0.05,999,0.0,0.0
Bonferroni,16,0.25,1.5,0.05,999,0.0,0.0
Uncorrected,16,0.25,1.5,0.05,999,0.0,0.4166666666666667
BH,32,0.75,0.5,0.05,0,0.0,0.0
Bonferroni,32,0.75,0.5,0.05,0,0.0,0.0
Uncorrected,32,0.75,0.5,0.05,0,0.0,0.125
BH,32,0.75,0.5,0.05,1,0.0,0.0
Bonferroni,32,0.75,0.5,0.05,1,0.0,0.0
Uncorrected,32,0.75,0.5,0.05,1,1.0,0.0
BH,32,0.75,0.5,0.05,2,0.0,0.0
Bonferroni,32,0.75,0.5,0.05,2,0.0,0.0
Uncorrected,32,0.75,0.5,0.05,2,0.0,0.0
BH,32,0.75,0.5,0.05,3,0.0,0.0
Bonferroni,32,0.75,0.5,0.05,3,0.0,0.0
Uncorrected,32,0.75,0.5,0.05,3,0.3333333333333333,0.25
BH,32,0.75,0.5,0.05,4,0.0,0.0
Bonferroni,32,0.75,0.5,0.05,4,0.0,0.0
Uncorrected,32,0.75,0.5,0.05,4,0.0,0.0
BH,32,0.75,0.5,0.05,5,0.0,0.0
Bonferroni,32,0.75,0.5,0.05,5,0.0,0.0
Uncorrected,32,0.75,0.5,0.05,5,0.0,0.0
BH,32,0.75,0.5,0.05,6,0.0,0.0
Bonferroni,32,0.75,0.5,0.05,6,0.0,0.0
Uncorrected,32,0.75,0.5,0.05,6,1.0,0.0
BH,32,0.75,0.5,0.05,7,0.0,0.0
Bonferroni,32,0.75,0.5,0.05,7,0.0,0.0
Uncorrected,32,0.75,0.5,0.05,7,0.0,0.125
BH,32,0.75,0.5,0.05,8,1.0,0.0
Bonferroni,32,0.75,0.5,0.05,8,1.0,0.0
Uncorrected,32,0.75,0.5,0.05,8,0.5,0.125
BH,32,0.75,0.5,0.05,9,0.0,0.0
Bonferroni,32,0.75,0.5,0.05,9,0.0,0.0
Uncorrected,32,0.75,0.5,0.05,9,0.5,0.125
BH,32,0.75,0.5,0.05,10,0.0,0.0
Bonferroni,32,0.75,0.5,0.05,10,0.0,0.0
