method,m,pi0,effect_size,alpha,rep,FDR,Power
BH,16,0.75,0.5,0.05,31,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,31,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,31,1.0,0.0
BH,16,0.75,0.5,0.05,32,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,32,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,32,0.0,0.0
BH,16,0.75,0.5,0.05,33,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,33,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,33,0.0,0.0
BH,16,0.75,0.5,0.05,34,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,34,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,34,0.0,0.25
BH,16,0.75,0.5,0.05,35,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,35,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,35,0.5,0.25
BH,16,0.75,0.5,0.05,36,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,36,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,36,0.0,0.25
BH,16,0.75,0.5,0.05,37,0.5,0.25
Bonferroni,16,0.75,0.5,0.05,37,0.5,0.25
Uncorrected,16,0.75,0.5,0.05,37,0.5,0.25
BH,16,0.75,0.5,0.05,38,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,38,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,38,0.0,0.0
BH,16,0.75,0.5,0.05,39,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,39,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,39,0.5,0.25
BH,16,0.75,0.5,0.05,40,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,40,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,40,0.0,0.25
BH,16,0.75,0.5,0.05,41,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,41,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,41,0.0,0.0
BH,16,0.75,0.5,0.05,42,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,42,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,42,1.0,0.0
BH,16,0.75,0.5,0.05,43,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,43,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,43,1.0,0.0
BH,16,0.75,0.5,0.05,44,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,44,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,44,0.0,0.0
BH,16,0.75,0.5,0.05,45,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,45,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,45,0.0,0.0
BH,16,0.75,0.5,0.05,46,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,46,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,46,1.0,0.0
BH,16,0.75,0.5,0.05,47,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,47,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,47,0.0,0.0
BH,16,0.75,0.5,0.05,48,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,48,0.0,0.0
