m,time
5.000000000000000000e+01,1.561540842056274414e+00
1.000000000000000000e+02,2.760887145996093750e-04
2.000000000000000000e+02,2.400875091552734375e-04
4.000000000000000000e+02,2.403259277343750000e-04
8.000000000000000000e+02,2.861022949218750000e-04
1.600000000000000000e+03,3.907680511474609375e-04
