cores,time,speedup
1.000000000000000000e+00,1.777079105377197266e+00,1.000000000000000000e+00
2.000000000000000000e+00,3.067973136901855469e+00,5.792355493606937689e-01
4.000000000000000000e+00,2.920831918716430664e+00,6.084153949393091843e-01
8.000000000000000000e+00,4.742929935455322266e+00,3.746796030219234908e-01
