m,time
5.000000000000000000e+01,9.596211910247802734e-01
1.000000000000000000e+02,6.232261657714843750e-04
2.000000000000000000e+02,3.418922424316406250e-04
4.000000000000000000e+02,2.658367156982421875e-04
8.000000000000000000e+02,2.892017364501953125e-04
1.600000000000000000e+03,3.850460052490234375e-04
